"66b15b93:414152c6:3f3a66a6:916be548";"US";"The 505th is running out of ammo: we must break through to them with supplies";"The 505th is running out of ammo: we must break through to them with supplies"
"66b846da:42a14547:6be42baf:fe976250";"US";"That AA nest will tear us apart if we get in its line of sight. A smoke screen should allow us to close in on it without too much damage.";"That AA nest will tear us apart if we get in its line of sight. A smoke screen should allow us to close in on it without too much damage."
"66bc1d5e:4f5e9f3d:135ea9b3:e4bb70d2";"US";"Heavy";"Heavy"
"66cb2061:42f98462:d66637aa:297c9a4d";"US";"Déployer des renforts";"Deploy reinforcements"
"66d2c2f7:49698327:42645ca9:948e3f0f";"US";"Mechanized";"Mechanized"
"66d31365:459144af:f78ee7a2:ea63fd60";"US";"CONNECT";"CONNECT"
"66df2af0:49b41fe9:e5484bae:0d9f1cb8";"US";"Display Line of Sight";"Display Line of Sight"
"66e8dac1:4f09e38c:1664cc9a:2ca5812e";"US";"%1 left";"%1 left"
"66f21043:44f584ca:dd5281b0:0d89d494";"US";"Anti-Aircraft Gun\nCan fire on the move if self-propelled, stationnary if fixed.\nCan target both ground & air units.";"Anti-Aircraft Gun\nCan fire on the move if self-propelled, stationary if fixed.\nCan target both ground & air units."
"66f4b57c:4dc1b2da:0812268b:f647a0b8";"US";"Cancel the attack.";"Cancel the attack."
"66f5045d:48eca092:d71bc7af:ec046e2d";"US";"Game Found! Launching in %1s";"Game Found! Launching in %1s"
"66fa7175:4ae99732:ada26aa9:589ead5a";"US";"Battle-Hardened";"Battle-Hardened"
"6700575a:455c1de2:af9d1eb2:c0b48d24";"US";"Encouraged by her aura as a victorious war leader in the Falklands, the British Prime Minister takes up the gauntlet and orders the reinforcement of Hong Kong’s garrison.";"Encouraged by her aura as a victorious war leader in the Falklands, the British Prime Minister takes up the gauntlet and orders the reinforcement of Hong Kong’s garrison."
"6704d5f2:42126eaf:30e5a58b:62a26afa";"US";;
"670a079f:4feea1f7:45aa39b0:c26eb7fe";"US";"Gun (air)\nCan fire on the move.\nCan target both ground & air units.";"Gun (air)\nCan fire on the move.\nCan target both ground & air units."
"670ada11:4881f6e6:7494e096:2fc4697c";"US";"Speed";"Speed"
"672831f6:4f9d4379:95d92581:4c3d2df0";"US";"B-Skirmish";"B-Skirmish"
"6739f2fa:4a2ebde6:4bae84a3:a74d8fc1";"US";"UNIT";"UNIT"
"674af359:4aae2571:7a82d1ab:3e56efd1";"US";"You've lost a unit, sir! Call for #coloredtext4{Reinforcements} and deploy the new unit on the battlefield.";"You've lost a unit, sir! Call for #coloredtext4{Reinforcements} and deploy the new unit on the battlefield."
"67525ce9:44dffd63:68c21794:821c5f73";"US";"Set the Victory Points limit to instantly win the game.";"Set the Victory Points limit to instantly win the game."
"67658c24:4ed421d5:0c3076b2:ee825e46";"US";"Déclarations bellicistes";"Warmongering declarations"
"67a83b3f:4e241428:9ea9038c:2cb0fbc8";"US";"Kampfgruppe at your orders, Herr Major.";"Kampfgruppe at your orders, Herr Major."
"67afad24:496ff25a:1877498c:1e7b04a2";"US";"OPPONENT SURRENDER";"OPPONENT SURRENDER"
"67f15fe1:45d36480:85fb4fb0:034959b3";"US";"La chute de Copenhague est un succès important pour l'ennemi. Elle augmente son score de 50 points de moral tant qu'il parvient à conserver cette ville.";"The fall of Copenhagen is a major victory for the enemy.\n\nEnemy morale goes up 50 points as long as it keeps hold of this city."
"681153c8:41cf6cfa:84e1a991:76593a6d";"US";"CLEAR SCREEN";"CLEAR SCREEN"
"68126864:4a3445cd:62f7dc9c:af88c6b3";"US";"Neutralise defence site 3.";"Neutralise defence site 3."
"6827e218:4c6c2f75:a83b5d93:f54828f6";"US";"%1's Game";"%1's Game"
"68322d18:4dcf88a9:a523d295:acbd9dee";"US";"Ces points déterminent la confiance que les politiques vous accordent.";"Those points indicate the trust of your political leaders."
"686dafcb:454065b6:44edd282:57a91cd6";"US";"CONTINUE";"CONTINUE"
"68808d43:41ba0c52:5fd9db90:a8713421";"US";"Les USA ont utilisé des armes nucléaires contre nos alliés coréens et des cibles civiles. L'indignation est à son comble. Le Kremlin autorise désormais les commandants des théâtres les plus importants à utiliser ce type de frappe s'ils le jugent nécessaire.";"The US have used nuclear weapons against our Korean allies and civilian targets.\nThere is general outrage.\n\nThe Kremlin is now authorizing the commanders in the largest theaters to use this type of strike if they consider it necessary."
"688e5be2:4874aadc:ba89289f:ab1e9c3d";"US";"Indicates the area affected by the impact of the round.\nThe higher the HE value and the closer it stands from the point of impact, the higher the physical and suppression the target will receive.";"Indicates the area affected by the impact of the round.\nThe higher the HE value and the closer it stands from the point of impact, the higher the physical and suppression the target will receive."
"6895a81e:40d91c58:942f3183:4bea5669";"US";"Indicates the uweapon's present status.";"Indicates the weapon's present status."
"68ab1ff3:4eaaf3bf:bf9075ba:376ee313";"US";;
"68c5b8d9:4b690296:803f3c9f:8f9da4f5";"US";"Entrainement au commandement combiné Air/Sol";"Combined Air/Ground command training"
"68c66d60:4629d1a8:afe3e780:e8af3f7d";"US";"NEXT IN\n%1 DAYS";"NEXT IN\n%1 DAYS"
"68caba15:40e2bc45:609d3ebf:44cb1f77";"US";"As for the rest of our 21. Panzer,";"As for the rest of our 21. Panzer,"
"68d099c2:424e057f:93dbe384:fcb94b70";"US";"Forcing an enemy unit to surrender is the fastest way of neutralising it.";"Forcing an enemy unit to surrender is the fastest way of neutralising it."
"68e5eb2d:4329afc1:ad22b998:ed29bb7e";"US";"LINK UP WITH THE 505th (%s)";"LINK UP WITH THE 505th (%s)"
"68e6fa87:4bb35dc1:101dd6a0:d97914a6";"US";"A veteran from the last year of WW1, Erskine served in India & Middle East in the Interwar. From 1941, he fought as an infantry bataillon commander in North Africa, distinguishing himself and rising through the ranks. Appointed as commander of the 7th Armoured Division by general Montgomery in January 1943, he led it through the Tunisia & early Italy campaigns before the division was recalled to England. General Montgomery, now at the head of the planned invasion forces for Normandy, had especially requested his Old Guard & Erskine to join him in this new endeavour. But for many of Desert rats, the return home after sometimes five years overseas brought war weariness, and the 7th lost some of its edge. Unfamiliar with the cramped Normandy bocage, the desert veterans received a beating at Villiers-Bocage, and later didn't demonstrated the drive Montgomery was expecting from them. About one month after Villiers-Bocage, Erskine and about a hundred of the 7th Armoured Division's officers were removed from the division and reassigned. Later that year, he held a territorial command in Belgium, then ended up the war at the head of a division again, the 43rd (Wessex) Infantry.";"A veteran from the last year of WW1, Erskine served in India & the Middle East in the Interwar. From 1941, he fought as an infantry battalion commander in North Africa, distinguishing himself and rising through the ranks. Appointed as commander of the 7th Armoured Division by General Montgomery in January 1943, he led it through the Tunisian & early Italian campaigns before the division was recalled to England. General Montgomery, now at the head of the planned invasion forces for Normandy, had especially requested his Old Guard & Erskine to join him in this new endeavour. But for many of the Desert Rats, the return home after up to five years overseas brought with it war weariness, and the 7th lost some of its edge. Unfamiliar with the cramped Normandy bocage, the desert veterans received a beating at Villiers-Bocage, and later on failed to demonstrate the drive that Montgomery expected of them. About one month after Villiers-Bocage, Erskine and about a hundred of the 7th Armoured Division's officers were removed from the division and reassigned. Later that year, Erskine held a territorial command in Belgium, ending the war at the head of a division again: the 43rd (Wessex) Infantry."
"68ee0a4b:47129afc:e6cace9f:4ab8dfa6";"US";"Displays each team's victory points against the victory points' limit.";"Displays each team's victory points against the victory points' limit."
"68f7e1ea:464404dc:7a8734ae:589f8607";"US";"Do you already have a Paradox account?";"Do you already have a Paradox account?"
"690b0bd6:4ba8970c:37727db5:56a45dad";"US";"Rapport météo";"Weather report"
"690c1d85:47e74415:3a54c6a3:9f6084bf";"US";"L'OTAN recule en Bavière";"NATO retreats in Bavaria"
"6910580f:4487c527:cf5b1091:a59a0559";"US";"380mm Tir de barrage";"380mm Barrage Fire"
"6917e01f:4423703d:018b95b5:86c56530";"US";"Taillebosq Bridge is ours, sir. 29th Armoured Brigade's vanguard is on its way to cross it.";"Taillebosq Bridge is ours, sir. 29th Armoured Brigade's vanguard is on its way to cross it."
"69214af4:43e0389d:4a06c380:242ee875";"US";"Esc";"Esc"
"694e6c10:4122c54e:7b13e28e:dc4ba203";"US";"This plane carries over 500kg of bombs.";"This plane carries over 500kg of bombs."
"6951d0c8:4f2ba417:2fc0b79f:072356bd";"US";"We're running out of time, sir. We must hurry.";"We're running out of time, sir. We must hurry."
"69628924:4d55dd17:710600a1:514a55fa";"US";"%1 min.";"%1 min."
"699d011d:49fd4d57:4cd52b93:a1e78a41";"US";"Their casualties are mounting, they won't be able to keep on coming this way much longer...";"Their casualties are mounting, they won't be able to keep on coming this way much longer..."
"69aed939:482e3ba8:124dd2a5:136813f6";"US";"Senior QA Manager";"Senior QA Manager"
"69aee8ae:4d85b762:bd85a1b2:6c0c8c67";"US";"La chute d'Aarhus est une catastrophe pour le camp occidental. L'ennemi vient de remporter 100 points de moral.";"The fall of Aarhus is catastrophic for the Western forces.\n\nThe enemy has just gained 100 morale points."
"69bf3013:41436868:10cb69b8:6166aa99";"US";"Aircraft: Multirole";"Aircraft: Multirole"
"69cad1de:4f8a2ff4:2e25c8a8:6e82e56f";"US";"Armoured group reporting. The road is under fire from 88s! We can't move!";"Armoured group reporting. The road is under fire from 88s! We can't move!"
"69d7e507:46ff6bea:5ec7d385:93ec3748";"US";"Low";"Low"
"69df346a:4796c455:1d8a2fb0:c23ab7af";"US";"READY means the asset can be called-in immediately, while other statuses have a duration displayed by the gauge.";"READY means the asset can be called-in immediately, while other statuses have a duration displayed by the gauge."
"69ee0bc3:43955f0b:6fa52db2:4e6547b8";"US";"Embark";"Embark"
"6a06fe11:4969beaa:2cf8bcb5:89764953";"US";"In this exercise, you will control several types of TANKS. You are being granted access to the TANK and ANTI-TANK classes of the BATTLEGROUP.";"In this exercise, you will control several types of TANKS. You are being granted access to the TANK and ANTI-TANK classes of the BATTLEGROUP."
"6a260d3c:4296239b:e47736ba:5b6f8936";"US";"and securing Audouville-la-Hubert";"and securing Audouville-la-Hubert"
"6a2e22a1:4a472145:52e273a6:2453a007";"US";"your 46th (Highland) Brigade will have to secure Cheux, a major crossroads";"your 46th (Highland) Brigade will have to secure Cheux, a major crossroads"
"6a2f0601:4c84cdac:3ce6bfa8:679bd77e";"US";"The 505th is taking heavy casualties, sir.";"The 505th is taking heavy casualties, sir."
"6a3890c1:470f9b38:599eccbf:f2957a48";"US";"Fin";"End"
"6a57b1f1:46216521:ca078980:3375932e";"US";"Escalade";"Escalation"
"6a633198:4c5d26c2:749d569c:1cd3b8b9";"US";"Langue de dev";"Dev language"
"6a8ec16d:4eb3fb38:88a5d18b:361ab85a";"US";"Accelerates the game's speed.";"Accelerates the game's speed."
"6a9bd0c0:4a0248e5:25fff78a:410ae87d";"US";"Le temps s'éclaircit sur l'Atlantique Nord. La tempête est passée.";"The weather is clearing up over the North Atlantic.\n\nThe storm has died down."
"6aadf0fd:4b67eb12:329a88aa:1cf0f9e9";"US";"Régiment d'infanterie puissant, avec un moral d'acier et équipé de lance-flammes. Parfait pour déloger des positions fortifiées, tout en gardant une capacité antichar à courte portée.";"Powerful infantry regiment with very high morale, equipped with flame-throwers. Perfect to flush out fortified positions whilst keeping a short range anti-tank capability."
"6aae7cb3:43acdf60:4018cea2:edb8302b";"US";"No supply unit has gone through yet, Herr Major. We should make sure to bring enough ammo for the assault on Lion-sur-Mer.";"No supply unit has gone through yet, Herr Major. We should make sure to bring enough ammo for the assault on Lion-sur-Mer."
"6aafadbf:472f8841:d21b4bba:64f9bbe5";"US";;
"6ac7fae0:425af5a8:8c6df986:875a032a";"US";"Defence site 1";"Defence site 1"
"6ac9ca7e:434e4857:645848b5:99ea8cc4";"US";"Tough Shit!\n\nThe 12th SS and the Armoured Stug group have gathered their forces and are trying to capture the evacuation point of the convoy!";"Tough Shit!\n\nThe 12th SS and the Armoured Stug group have gathered their forces and are trying to capture the evacuation point of the convoy!"
"6aef64ce:40c8a0ab:33884ab9:ec3c9326";"US";"Nos troupes ont infligé un camouflet retentissant à Pékin qui devra désormais accéder à nos conditions.\nL’Union Jack devrait continuer à flotter sur Hong Kong pour encore un siècle au moins…";"Our troops have inflicted very heavy casualties to Beijing who now have no choice but to agree to our conditions.\nThe Union Jack is likely to keep flying over Hong Kong for at least another century…"
"6b00fd32:48a4dc2e:e4430d8a:fab7abe9";"US";"Formed from fanatical 17- or 18-year-old teenagers drawn from the ranks of Hitler Youth, and led by battle-hardened officers & NCOs, the 12. SS-Panzer proved to be the Allies' most dreaded opponent in Normandy. Lavishly provided with modern vehicles and guns, the 12. SS was one of the best equipped Panzer divisions on the Western Front.";"Formed from fanatical 17- or 18-year-old teenagers drawn from the ranks of Hitler Youth, and led by battle-hardened officers & NCOs, the 12. SS-Panzer proved to be the Allies' most dreaded opponent in Normandy. Lavishly provided with modern vehicles and guns, the 12. SS was one of the best equipped Panzer divisions on the Western Front."
"6b0559cf:4fefad4d:0bf9918f:078caba5";"US";"Good job! All enemy defences have been spotted!";"Good job! All enemy defences have been spotted!"
"6b0bb1aa:46b7936d:a8f4b682:b1ee347b";"US";"Experience improves various stats, depending on the unit type (accuracy, morale, RoF, optics…).";"Experience improves various stats, depending on the unit type (accuracy, morale, RoF, optics…)."
"6b0f793c:40a7948d:6f31e2a9:7ce316c5";"US";"June 1982. The Falklands War, Margaret Thatcher’s war, ends in a complete British victory.\nThe « Iron Lady » is at the top of her popularity and influence.";"June 1982. The Falklands War, Margaret Thatcher’s war, ends in a complete British victory.\nThe « Iron Lady » is at the top of her popularity and influence."
"6b1862d1:424a051b:27ef67b2:fc96c8be";"US";"L'ennemi s'est emparé d'Oslo";"The enemy has taken Oslo"
"6b244b0c:48813c5c:a76dd78b:55de063a";"US";"MAP";"MAP"
"6b297a1e:42ed0ae2:5df50a97:ba1a3d68";"US";"GRADE";"GRADE"
"6b2cefe7:4b2728af:c1d560b2:f8a771c1";"US";;
"6b2da448:4ed91cde:6f09b38b:0973fb7a";"US";"The Anglo-Canadians are cornered, their backs to the sea.";"The Anglo-Canadians are cornered, their backs to the sea."
"6b43a486:4b9e7885:662c6d9f:4b78064b";"US";"Occidentaux & Soviétiques accentuent leur aide à l'Irak dans sa guerre contre son voisin iranien dans l'espoir de s'assurer un flot continu de pétrole pour alimenter la guerre.";"Western and Soviet powers are stepping up their aid to Iraq in its war against its Iranian neighbor in the hope of securing a continuous flow of oil to fuel the war."
"6b4e0dee:46c3b196:21244bbd:5e618d6b";"US";"Revert all changes";"Revert all changes"
"6b4febb9:49aa467e:7995f4b0:5cdaf8ac";"US";"140mm Tir d’efficacité";"140mm Fire for Effect"
"6b6c2a99:40686294:afc21b83:86bd040a";"US";"No active CD-Key for this game. Verify your login or link your key to this account using First Connection.";"No active CD-Key for this game. Verify your login or link your key to this account using First Connection."
"6b73ef83:4995342b:13a7b797:7687309a";"US";"WEAPON STATUS";"WEAPON STATUS"
"6b821af3:407e792c:273454a9:1429c7a6";"US";"Cultivation field";"Cultivation field"
"6b85230e:498b171a:b39db0a7:f8df0e35";"US";"Capture the unarmed enemy unit.";"Capture the unarmed enemy unit."
"6b867936:41689955:d89977ad:a82259a0";"US";"The ARMOUR BUSTER icon indicates that the unit carries an anti-tank weapon, usually very effective but only at very close range.";"The ARMOUR BUSTER icon indicates that the unit carries an anti-tank weapon, usually very effective but only at very close range."
"6b86fe56:42bb59b6:100a7d8f:2ff79ab3";"US";"1979-1980. The Soviet Union increases troops and naval assets in the Kuril area.\nJapan retaliates by hardening its stance towards the USSR and increasing its military spending …";"1979-1980. The Soviet Union increases troops and naval assets in the Kuril area.\nJapan retaliates by hardening its stance towards the USSR and increasing its military spending …"
"6b89a46f:4891938e:04cfce94:fde1c1a6";"US";"Holding Fire";"Holding Fire"
"6bac35a9:4575b5af:f09d5e8c:e93f06e9";"US";"Walter ROBERTSON";"Walter ROBERTSON"
"6bc0135b:4a799f68:ccf81fb8:94ada979";"US";"Neutralise the enemy.";"Neutralise the enemy."
"6bc01e7b:49208736:770abbb2:9c40355b";"US";"Big";"Big"
"6bd61b76:41b52052:c285a192:4bcfce60";"US";"The enemy earns +1 VICTORY POINTS every second! It means that as long as he retains control of at least 51% of the map, he'll keep scoring every second!  You need to fight him off and expand your influence area or his score will continue to increase!";"The enemy earns +1 VICTORY POINTS every second! It means that as long as he retains control of at least 51% of the map, he'll keep scoring every second!  You need to fight him off and expand your influence area or his score will continue to increase!"
"6bddbb82:4d41d5e2:ae8bd39c:9b184764";"US";"We are the only ones at hand able to hold back the expansion of the enemy beachhead.";"We are the only ones at hand able to hold back the expansion of the enemy beachhead."
"6be2e4aa:473366e1:545981a4:bc97da53";"US";"Troupes de Sécurité indisponibles pendant 2 tours.";"Loss of 10 political points."
"6bf8e2ff:493f1fc5:c31d16bb:ea575529";"US";"Defence site 4";"Defence site 4"
"6c01231d:4696b8c4:f6a4caa8:f420e5f7";"US";"AXIS";"AXIS"
"6c10d9c7:4355663d:544fec8f:cc4596c4";"US";"Command Squad";"Command Squad"
"6c112954:4b2d6532:b5317d84:6b2beec3";"US";"LtG";"LtG"
"6c274100:436d76a1:409528be:63ef9a9c";"US";"Invitation Failed";"Invitation Failed"
"6c2c4bc4:401836c8:57617e9d:c1e0abbd";"US";"Renforts navals";"Naval reinforcements"
"6c41c874:430bc844:08164db2:1b4911dd";"US";"Captain";"Captain"
"6c4dbbf7:430a06ab:ff58e1b5:bee11c42";"US";"Decrease the chat font's size.";"Decrease the chat font's size."
"6c6b4de1:429fb461:b91670af:cd35b8d2";"US";"Total destruction";"Total destruction"
"6c8ea18f:45232357:5c3d4a88:73c4d731";"US";"Delete";"Delete"
"6c8edb77:4eeb0ff9:7fce58b4:ff6b58fe";"US";"In this exercise, you'll learn how to defend against aircraft, and also how to use them.\nWhile on the ground you'll learn how to call in off-map long-range ARTILLERY strikes.\nYou are being granted access to the ANTI-AIR and AIR classes of the BATTLEGROUP.";"In this exercise, you'll learn how to defend against aircraft, and also how to use them.\nWhile on the ground you'll learn how to call in off-map long-range ARTILLERY strikes.\nYou are being granted access to the ANTI-AIR and AIR classes of the BATTLEGROUP."
"6c90867d:4f478b20:cd5538af:ce9938a9";"US";"Lead Game Designer";"Lead Game Designer"
"6c98e0c0:44e1c0b4:ac637090:ebeef787";"US";"%1 has been kicked (player decks mismatching the lobby rules).";"%1 has been kicked out (player’s decks do not comply with the lobby rules)."
"6c99269f:46a7e861:c885d6af:429f45ce";"US";"Being one of the few interwar active divisions of the US Army, entirely composed of volunteers, 1st ID was among the very first units sent to Europe to take part in the war against the Germans & Italians when the USA entered the war. BRO fought in every campaign on the ETO : Algeria, Tunisia, Sicily, France, Belgium, Germany & Czechoslovakia. As experienced as unruly, there wasn't a better American infantry division on the ETO.";"Being one of the few interwar active divisions of the US Army, entirely composed of volunteers, 1st ID was among the very first units sent to Europe to take part in the war against the Germans & Italians when the USA entered the war. BRO fought in every campaign on the ETO: Algeria, Tunisia, Sicily, France, Belgium, Germany & Czechoslovakia. As experienced as they were unruly, there wasn't a better American infantry division on the ETO."
"6ca3bae5:49a040f3:10b04cb8:ea5862ef";"US";"Voice chat reception volume settings.";"Voice chat reception volume settings."
"6caca960:48e8e88c:da0626ad:2cd5fb95";"US";"Top : %1";"Top : %1"
"6cc58001:4a329352:017d6baf:889f5119";"US";"RECON PLANE";"RECON PLANE"
"6cc8ee50:46578add:894ef3b9:51012e8f";"US";"Our new partisan friends have contacted some of their comrades, who have captured a workshop from Panzer-Abteilung 100 near Baupte. They’ve salvaged some old French tanks and are bringing them to the fight.";"Our new partisan friends have contacted some of their comrades, who have captured a workshop from Panzer-Abteilung 100 near Baupte. They’ve salvaged some old French tanks and are bringing them to the fight."
"6ccce312:4c89ebb7:6a1c0fae:414e1bc2";"US";"Infantry: Anti-Tank";"Infantry: Anti-Tank"
"6cddb017:41cb650f:4164f9a4:123330b3";"US";"A soldier's general, outspoken and caring for the lives of his men, Keller led his division further inland on D-Day than any other, despite German resistance being strongest in his sector, but for Omaha Beach.";"A soldier's general, outspoken and caring for the lives of his men, Keller led his division further inland on D-Day than any other, despite German resistance being strongest in his sector, but for Omaha Beach."
"6cfae826:4fa1cbf2:852cf8ae:6fee3927";"US";"210mm Tir de barrage";"210mm Barrage Fire"
"6d0cab8c:49a91a03:76c1eb97:18845b7c";"US";"Partner Coordinator";"Partner Coordinator"
"6d1ad5ad:48c105d4:4178d89a:dddf4d75";"US";"Affects the quality of the sea and rivers.";"Affects the quality of the sea and rivers."
"6d1c1e36:4cea3a9a:57e75fb1:32510596";"US";"Kill or capture the enemy unit.";"Kill or capture the enemy unit."
"6d1ef617:40158cf0:e831c2b3:90838c78";"US";"Graphic settings are too high ; too many programs running in the background ; …";"Graphics settings are too high; too many programs running in the background; …"
"6d2303b3:46582597:b09b8aa8:a8be5fc0";"US";"#SWE SWEDEN";"#SWE SWEDEN"
"6d2ef069:437be39c:247c71a1:2310ca01";"US";"The M16 halftrack is deadly against enemy infantry, while the M15 is also able to deal with light-armoured vehicles.";"The M16 halftrack is deadly against enemy infantry, while the M15 is also able to deal with light-armoured vehicles."
"6d3f7c5c:47e20684:e4251794:4d3937b4";"US";"User Research Team Lead";"User Research Team Lead"
"6d634a37:48af5b46:dd8f3aa8:a9799429";"US";"SECURE THE ORNE BRIDGES (%s)";"SECURE THE ORNE BRIDGES (%s)"
"6d7a1517:4f63bde2:220a489a:1ee91327";"US";"Our orders are to secure the top of Hill 112, and hold it!";"Our orders are to secure the top of Hill 112, and hold it!"
"6d7bdc39:4d43a326:cc07efa9:d3a1af19";"US";"You can shift the unit's position by holding down LEFT CLICK #mouseleftclick on the unit’s tag #ptransport or remove it RIGHT CLICK #mouserightclick from the map to place it back to the #coloredtext4{REQUISITION MENU}.";"You can shift the unit's position by holding down LEFT CLICK #mouseleftclick on the unit’s tag #ptransport or remove it RIGHT CLICK #mouserightclick from the map to place it back to the #coloredtext4{REQUISITION MENU}."
"6dace114:4a8762f8:7d4fefab:3ec7bd9f";"US";"Desperate to break out, the trapped Germans hurled themselves at Polish battlegroup: settling centuries-old scores, the two opponents knew better than to ask (or grant) quarters to their bitter enemies.\n\nThe German tide was so overwhelming that it enveloped the Polish position on top of Mont Ormel, reducing it to almost nothing … yet the Poles kept fighting.\n\nWhen the Poles finally ran out of ammunition, they had to fight off the remaining waves with rifle butts or knives. Dead enemies were found mixed together in the same trenches, and German corpses had to be removed from the top of Polish tanks they had been climbing on to take them out hand to hand.\n\nMeanwhile, the American 90th Infantry Division and Polish battlegroup Zgorzelski were fighting to hold Chambois, sealing the Southern part of the pocket and preventing most germans from escapaing, all the while trying to extend a hand toward the trapped Poles on Mont Ormel.\n\nAlready fighting in Saint-Lambert to seal the Northern part of the pocket, 4th Canadian Armoured Division was both too weak and too late to completely seal the Northern route, allowing many Germans to escape to freedom. Yet, Canadian heavy artillery, masterly directed from inside the Polish positions by Captain Sévigny, proved essential to the survival of the defenders.\n\nFinally, the attack from outside the pocket by elements from II. SS-Panzer-Korps failed to crack the Polish position, but manage to help to create a corridor in the Northern part of the battlefield through which several thousand German soldiers, including commander-in-chief Paul Hausser, managed to escape the trap.";"Desperate to break out, the trapped Germans hurled themselves at the Polish battlegroup. Settling centuries-old scores, the two opponents knew better than to ask (or grant) quarter to their bitter enemies.\n\nThe German tide was so overwhelming that it enveloped the Polish position on top of Mont Ormel, reducing it to almost nothing… yet the Poles continued to fight.\n\nWhen the Poles eventually ran out of ammunition, they were forced to fight off the remaining waves with rifle butts or knives. Corpses from both sides were found in the same trenches. German corpses had to be removed from the tops of the Polish tanks they had been climbing on to take them out hand-to-hand.\n\nMeanwhile, the American 90th Infantry Division and Polish battlegroup Zgorzelski were fighting to hold Chambois, sealing the Southern part of the pocket and preventing most Germans from escaping, all the while trying to extend a hand towards the trapped Poles on Mont Ormel.\n\nAlready fighting in Saint-Lambert to seal the Northern part of the pocket, the 4th Canadian Armoured Division was both too weak and too late to completely seal the Northern route, allowing many Germans to escape to freedom. Yet, Canadian heavy artillery, masterly directed from inside the Polish positions by Captain Sévigny, proved essential to the survival of the defenders.\n\nFinally, the attack from outside the pocket by elements from II. SS-Panzer-Corps failed to crack the Polish position, but managed to help create a corridor in the Northern part of the battlefield, through which several thousand German soldiers, including commander-in-chief Paul Hausser, escaped the trap."
"6dc2e570:4b1f2355:89d64099:1778e19d";"US";"105mm Tir de barrage";"105mm Barrage Fire"
"6dc6f3f9:4180605a:09c7bd9a:88e961a5";"US";"Good job! PANZER II LUCHS neutralised!";"Good job! PANZER II LUCHS neutralised!"
"6dca5079:4bf3cc16:1f24598b:593bba96";"US";"Ogarkov renforcera vos moyens non-conventionnels mais réduira votre marge de manœuvre.";"Ogarkov will reinforce your non-conventional arsenal, but will lessen your room for manoeuvre."
"6dcc0fa0:417745df:db2fdc98:046996ed";"US";"High";"High"
"6dd0fc2c:42b5d0f6:820dfb8c:88aed7ff";"US";"Position your AB Rifles within their WC25 truck inside the deployment zone.";"Position your AB Rifles within their WC25 truck inside the deployment zone."
"6dd32f3f:4ab3d715:7e328c95:3c93abbc";"US";"Click NEXT to compose your BATTLEGROUP.";"Click NEXT to compose your BATTLEGROUP."
"6de9d6ed:4da6dd1d:4ae90f87:1dc4a436";"US";"Total value of forces :";"Total value of forces:"
"6dec21d4:4a729e45:0f1485bf:c531e77d";"US";"Test (clignotement)";"Test (flashing)"
"6df413bf:4773fdf9:e9fac583:1b558a5b";"US";"Mid";"Mid"
"6e107d24:42a4d5b4:71c9bfad:f925bd80";"US";"Le temps s'éclaircit en mer Baltique. La tempête est passée.";"The weather is clearing up over the Baltic Sea.\n\nThe storm has died down."
"6e234053:4cd88e1d:c7300bb7:0b2912c5";"US";"Player";"Player"
"6e28f5c2:4831e2d2:14987fb6:b78d2849";"US";"Nos camarades nord-coréens ont échoué à emporter la décision sans notre aide, mais ils continuent de fixer des forces ennemies dans la région.";"Our North Korean comrades have failed to sway the decision without our help, but are continuing to pin down the enemy forces in the region."
"6e2b64d4:4504f715:f42ff099:abb9e0a3";"US";"Panicked";"Panicked"
"6e4957a0:4fe6d9f9:0d6ea98c:64f75eec";"US";"Lion-sur-Mer is only a few kilometres ahead,";"Lion-sur-Mer is only a few kilometres ahead,"
"6e4df0d9:4906e31d:47d5cda3:11f193ab";"US";"Echec de l'IRA";"Failure of the IRA"
"6e4f617e:41c445eb:711562bc:06429f6b";"US";;
"6e584fd4:458223a6:ae20208d:fc54e301";"US";"Aerial Corridor secured!";"Aerial Corridor secured!"
"6e7475d9:48b6b548:b221c598:d02a4e87";"US";"MANAGE PLAYER";"MANAGE PLAYER"
"6e7ac362:416c68eb:870b81af:c32da18d";"US";"Mouse trap";"Mouse trap"
"6e7edef9:40403d16:6c25aabf:8676103d";"US";"Échec en Islande";"Disaster in Iceland"
"6e7fed79:43ff559b:720b60ab:2c282ab1";"US";"THE EAGLE";"THE EAGLE"
"6e9113af:44d7879c:ed125481:441f9018";"US";"The surrounded units are saved! Great job, you have successfully rallied them!";"The surrounded units are saved! Great job, you have successfully rallied them!"
"6e927693:4428dffd:ed445e8b:40ff9190";"US";"La chute de Copenhague est un succès important pour l'ennemi. Son moral augmente de 75 points tant qu'il parvient à conserver cette ville.";"The fall of Copenhagen is a major victory for the enemy.\n\nIt boosts its morale by 75 points for as long as it keeps hold of this city."
"6eab433b:4772162b:00203499:16da8e84";"US";"où atterrir";"where to land"
"6eb41882:4c03f57a:746f7181:5ae000ee";"US";"The unit self-destruct instantly, triggering a huge blast.";"The unit self-descructs instantly, triggering a huge explosion"
"6eb5fd2e:4a8d518b:d31856b3:4ca26547";"US";"Guerre Iran-Irak";"Iran-Iraq War"
"6ebb8597:415fee6c:e14180b7:178deb18";"US";"At the least, many Fw 190 fighters still serviceable in the sector will be there much sooner to cover us.";"At the least, many Fw 190 fighters still serviceable in the sector will be there much sooner to cover us."
